Temporada|Capitulo|Titulo|Link
5|01|El Mapa Cutie - Primera parte|https://www.youtube.com/watch?v=K7i69BO_hyk
5|02|El Mapa Cutie - Segunda parte|https://www.youtube.com/watch?v=ocCleXcth6g
5|03|Castillo, dulce castillo|https://www.youtube.com/watch?v=sjQ-1i7iVwU
5|04|Un descanso agotado|https://www.youtube.com/watch?v=I0OQcxyLrdc
5|05|El dilema del tanque|https://www.youtube.com/watch?v=A6-rCzCarZY
5|06|El más buscado|https://www.youtube.com/watch?v=skZzllvms3o
5|07|Haciendo nuevas amistades con Discord|https://www.youtube.com/watch?v=W0Sjbg_dQnE
5|08|El tesoro perdido de Griffonstone|https://www.youtube.com/watch?v=QTKAwy5tmgY
5|09|Un bocado de vida|https://www.youtube.com/watch?v=Vw46a1bt05s
5|10|Princesa Spike|https://www.youtube.com/watch?v=GTt4Y8U_Ohc
5|11|Fiesta arruinada|https://www.youtube.com/watch?v=6P29c_nr4-E
5|12|Enmendando el pasado|https://www.youtube.com/watch?v=81yIcfGaPKc
5|13|¿Las princesas sueñan con magia?|https://www.youtube.com/watch?v=4AKC53ZQwo8
5|14|Boutique Canterlot|https://www.youtube.com/watch?v=FUeom1_Ugm8
5|15|¡Rarity Investiga!|https://www.youtube.com/watch?v=EH8DrOaz01s
5|16|Visita a Ponyhattan|https://www.youtube.com/watch?v=ny9MImoSAdU
5|17|La convivencia|https://www.youtube.com/watch?v=A3k6lKPgHBc
5|18|Crusaders de la mark perdida|https://www.youtube.com/watch?v=8pEOeB2JaE8
5|19|Cuando Pinkie lo sabe|https://www.youtube.com/watch?v=nyzjouQrWRE
5|20|Arruinafiestas|https://www.youtube.com/watch?v=sl7X6CQbIoQ
5|21|Enfrentando el temor|https://www.youtube.com/watch?v=u6_lmVzh1WM
5|22|¿Qué pasa con Discord?|https://www.youtube.com/watch?v=VJkY3kq8EAA
5|23|Los Hooffields y los McColts|https://www.youtube.com/watch?v=af1HNz7Y5bU
5|24|Fama Peligrosa|https://www.youtube.com/watch?v=q8UzfOUdCHY
5|25|Cambio de cutie mark - Primera parte|https://www.youtube.com/watch?v=PQ3jBZ3s8Ik
5|26|Cambio de cutie mark - Segunda parte|https://www.youtube.com/watch?v=eV9koJTS2eI
